Timestamp,Session ID,State Change Event,From State,To State,Intelligence Level,Enemy ID,Alerted,Completed
06/07/2026 22:34:30,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 0: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,0.0,No,
06/07/2026 22:34:30,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 0: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,0.0,No,
06/07/2026 22:34:31,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 0: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,0.0,No,
06/07/2026 22:34:31,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,1.0,No,
06/07/2026 22:34:32,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,1.0,No,
06/07/2026 22:34:32,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 0: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,0.0,No,
06/07/2026 22:34:33,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 2: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,2.0,No,
06/07/2026 22:34:34,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 3: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,3.0,No,
06/07/2026 22:34:35,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,1.0,No,
06/07/2026 22:34:35,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,1.0,No,
06/07/2026 22:34:36,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,1.0,No,
06/07/2026 22:34:37,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,1.0,No,
06/07/2026 22:34:37,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,1.0,No,
06/07/2026 22:34:38,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,1.0,No,
06/07/2026 22:34:38,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,1.0,No,
06/07/2026 22:34:39,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 2: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,2.0,No,
06/07/2026 22:34:39,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 1: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,1.0,No,
06/07/2026 22:34:40,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 3: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,3.0,No,
06/07/2026 22:34:41,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 2: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,2.0,No,
06/07/2026 22:34:41,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 2: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,2.0,No,
06/07/2026 22:34:42,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 2: Patrol->Chasing (Not Alerted),Patrol,Chasing,Basic,2.0,No,
06/07/2026 22:34:42,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Basic 2: Chasing->Patrol (Not Alerted),Chasing,Patrol,Basic,2.0,No,
06/07/2026 22:36:33,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 0: Chasing->Searching (Not Alerted),Chasing,Searching,Advanced,0.0,No,
06/07/2026 22:36:33,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 2: Patrol->Suspicious (Not Alerted),Patrol,Suspicious,Advanced,2.0,No,
06/07/2026 22:36:34,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Patrol->Suspicious (Not Alerted),Patrol,Suspicious,Advanced,1.0,No,
06/07/2026 22:36:35,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 2: Suspicious->Chasing (Not Alerted),Suspicious,Chasing,Advanced,2.0,No,
06/07/2026 22:36:35,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Suspicious->Chasing (Not Alerted),Suspicious,Chasing,Advanced,1.0,No,
06/07/2026 22:36:36,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 0: Searching->Patrol (Not Alerted),Searching,Patrol,Advanced,0.0,No,
06/07/2026 22:36:36,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 2: Chasing->Searching (Not Alerted),Chasing,Searching,Advanced,2.0,No,
06/07/2026 22:36:37,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Chasing->Searching (Not Alerted),Chasing,Searching,Advanced,1.0,No,
06/07/2026 22:36:37,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Searching->Chasing (Not Alerted),Searching,Chasing,Advanced,1.0,No,
06/07/2026 22:36:38,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 2: Searching->Chasing (Not Alerted),Searching,Chasing,Advanced,2.0,No,
06/07/2026 22:36:39,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Chasing->Searching (Not Alerted),Chasing,Searching,Advanced,1.0,No,
06/07/2026 22:36:39,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 2: Chasing->Searching (Not Alerted),Chasing,Searching,Advanced,2.0,No,
06/07/2026 22:36:40,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Searching->Chasing (Not Alerted),Searching,Chasing,Advanced,1.0,No,
06/07/2026 22:36:40,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 0: Patrol->Suspicious (Not Alerted),Patrol,Suspicious,Advanced,0.0,No,
06/07/2026 22:36:41,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 0: Suspicious->Searching (Not Alerted),Suspicious,Searching,Advanced,0.0,No,
06/07/2026 22:36:42,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Chasing->Searching (Not Alerted),Chasing,Searching,Advanced,1.0,No,
06/07/2026 22:36:42,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 0: Searching->Patrol (Not Alerted),Searching,Patrol,Advanced,0.0,No,
06/07/2026 22:36:43,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 2: Searching->Patrol (Not Alerted),Searching,Patrol,Advanced,2.0,No,
06/07/2026 22:36:43,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 1: Searching->Patrol (Not Alerted),Searching,Patrol,Advanced,1.0,No,
06/07/2026 22:36:44,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Advanced 0: Patrol->Suspicious (Not Alerted),Patrol,Suspicious,Advanced,0.0,No,
06/07/2026 22:39:11,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 0: Searching->Chasing (Not Alerted),Searching,Chasing,Sound,0.0,No,
06/07/2026 22:39:11,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 1: Patrol->Suspicious (Not Alerted),Patrol,Suspicious,Sound,1.0,No,
06/07/2026 22:39:12,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 1: Suspicious->Searching (Not Alerted),Suspicious,Searching,Sound,1.0,No,
06/07/2026 22:39:12,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 0: Chasing->Searching (Not Alerted),Chasing,Searching,Sound,0.0,No,
06/07/2026 22:39:13,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 1: Searching->Patrol (Not Alerted),Searching,Patrol,Sound,1.0,No,
06/07/2026 22:39:14,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 3: Patrol->Suspicious (Not Alerted),Patrol,Suspicious,Sound,3.0,No,
06/07/2026 22:39:14,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 3: Suspicious->Chasing (Not Alerted),Suspicious,Chasing,Sound,3.0,No,
06/07/2026 22:39:15,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 1: Patrol->Suspicious (Not Alerted),Patrol,Suspicious,Sound,1.0,No,
06/07/2026 22:39:15,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 1: Suspicious->Chasing (Not Alerted),Suspicious,Chasing,Sound,1.0,No,
06/07/2026 22:39:16,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 0: Searching->Chasing (Not Alerted),Searching,Chasing,Sound,0.0,No,
06/07/2026 22:39:16,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 3: Chasing->Searching (Not Alerted),Chasing,Searching,Sound,3.0,No,
06/07/2026 22:39:17,09ec7f7d-2776-47e8-8e23-f15e5d0cf7f1,Level: Sound 1: Chasing->Searching (Not Alerted),Chasing,Searching,Sound,1.0,No,
